stock_code,data_type,rows,first_date,last_date,core_missing_rate,anomalies,grade,reasons
00020,daily_kline,1144,2021-12-30,2026-08-28,0.0,0,A,
00268,daily_kline,4097,2010-01-04,2026-08-28,0.0,0,A,
00354,daily_kline,4085,2010-01-04,2026-08-28,0.0,7,C,异常值 7 条（零/负成交量 7）；核心缺失率 0.0% 或异常
00357,daily_kline,4069,2010-01-04,2026-08-28,0.0,33,C,异常值 33 条（零/负成交量 33）；核心缺失率 0.0% 或异常
00371,daily_kline,4093,2010-01-04,2026-08-28,0.0,206,C,异常值 206 条（负价格 205；零/负成交量 1）；核心缺失率 0.0% 或异常
00700,daily_kline,4098,2010-01-04,2026-08-28,0.0,4,C,异常值 4 条（负价格 4）；核心缺失率 0.0% 或异常
00788,daily_kline,1982,2018-08-08,2026-08-28,0.0,0,A,
01093,daily_kline,4097,2010-01-04,2026-08-28,0.0,451,C,异常值 451 条（负价格 442；零/负成交量 9）；核心缺失率 0.0% 或异常
01177,daily_kline,4095,2010-01-04,2026-08-28,0.0,246,C,异常值 246 条（负价格 246）；核心缺失率 0.0% 或异常
01951,daily_kline,1768,2019-06-25,2026-08-28,0.0,0,A,
02202,daily_kline,2986,2014-06-25,2026-08-28,0.0,3,C,异常值 3 条（零/负成交量 3）；核心缺失率 0.0% 或异常
02602,daily_kline,960,2022-09-29,2026-08-28,0.0,0,A,
02611,daily_kline,2287,2017-04-11,2026-08-28,0.0,1,C,异常值 1 条（零/负成交量 1）；核心缺失率 0.0% 或异常
03033,daily_kline,1474,2020-08-28,2026-08-28,0.0,1,C,异常值 1 条（换手率越界 1）；核心缺失率 0.0% 或异常
03800,daily_kline,3950,2010-01-04,2026-08-28,0.0,1,C,异常值 1 条（零/负成交量 1）；核心缺失率 0.0% 或异常
06060,daily_kline,2192,2017-09-28,2026-08-28,0.0,0,A,
00020,daily_moneyflow,1139,2021-12-30,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
00268,daily_moneyflow,1362,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
00354,daily_moneyflow,1362,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
00357,daily_moneyflow,1349,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
00371,daily_moneyflow,1363,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
00700,daily_moneyflow,1367,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
00788,daily_moneyflow,1349,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
01093,daily_moneyflow,1362,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
01177,daily_moneyflow,1362,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
01951,daily_moneyflow,1362,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
02202,daily_moneyflow,1361,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
02602,daily_moneyflow,251,2025-08-21,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 97.9%）
02611,daily_moneyflow,1344,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
03033,daily_moneyflow,1318,2021-04-19,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
03800,daily_moneyflow,1219,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
06060,daily_moneyflow,1362,2021-02-03,2026-08-28,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.8%）
00020,weekly_kline,243,2021-12-31,2026-08-21,0.0,0,A,
00268,weekly_kline,868,2010-01-08,2026-08-21,0.0,0,A,
00354,weekly_kline,867,2010-01-08,2026-08-21,0.0,0,A,
00357,weekly_kline,864,2010-01-08,2026-08-21,0.0,0,A,
