stock_code,data_type,rows,first_date,last_date,actual_periods,expected_periods,note
00020,daily_kline,1141,2021-12-30,2026-08-25,1141.0,1141.0,周期完整度 1141/1141
00020,daily_moneyflow,1136,2021-12-30,2026-08-25,1136.0,,
00020,institutional_holdings,19,,,,,
00020,monthly_kline,56,2021-12-31,2026-07-31,56.0,56.0,周期完整度 56/56
00020,monthly_moneyflow,59,2021-12-01,2026-08-21,59.0,,
00020,quarterly_kline,19,2021-12-31,2026-06-30,19.0,19.0,周期完整度 19/19
00020,quarterly_moneyflow,20,2021-12-31,2026-08-21,20.0,,
00020,weekly_kline,243,2021-12-31,2026-08-21,243.0,243.0,周期完整度 243/243
00020,weekly_moneyflow,242,2021-12-31,2026-08-21,242.0,,
00268,daily_kline,4094,2010-01-04,2026-08-25,4094.0,4095.0,周期完整度 4094/4095
00268,daily_moneyflow,1359,2021-02-03,2026-08-25,1359.0,,
00268,institutional_holdings,90,,,,,
00268,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00268,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00268,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00268,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00268,weekly_kline,868,2010-01-08,2026-08-21,868.0,868.0,周期完整度 868/868
00268,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
00354,daily_kline,4082,2010-01-04,2026-08-25,4082.0,4095.0,周期完整度 4082/4095
00354,daily_moneyflow,1359,2021-02-03,2026-08-25,1359.0,,
00354,institutional_holdings,87,,,,,
00354,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00354,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00354,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00354,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00354,weekly_kline,867,2010-01-08,2026-08-21,867.0,868.0,周期完整度 867/868
00354,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
00357,daily_kline,4066,2010-01-04,2026-08-25,4066.0,4095.0,周期完整度 4066/4095
00357,daily_moneyflow,1346,2021-02-03,2026-08-25,1346.0,,
00357,institutional_holdings,90,,,,,
00357,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00357,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00357,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00357,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00357,weekly_kline,864,2010-01-08,2026-08-21,864.0,868.0,周期完整度 864/868
00357,weekly_moneyflow,287,2021-02-05,2026-08-21,287.0,,
00371,daily_kline,4090,2010-01-04,2026-08-25,4090.0,4095.0,周期完整度 4090/4095
00371,daily_moneyflow,1360,2021-02-03,2026-08-25,1360.0,,
00371,institutional_holdings,82,,,,,
00371,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00371,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00371,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00371,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00371,weekly_kline,868,2010-01-08,2026-08-21,868.0,868.0,周期完整度 868/868
00371,weekly_moneyflow,290,2021-02-05,2026-08-21,290.0,,
00579,daily_kline,0,,,0.0,0.0,无数据
00579,daily_moneyflow,0,,,0.0,0.0,无数据
00579,institutional_holdings,0,,,0.0,0.0,无数据
00579,monthly_kline,0,,,0.0,0.0,无数据
00579,monthly_moneyflow,0,,,0.0,0.0,无数据
00579,quarterly_kline,0,,,0.0,0.0,无数据
00579,quarterly_moneyflow,0,,,0.0,0.0,无数据
00579,weekly_kline,0,,,0.0,0.0,无数据
00579,weekly_moneyflow,0,,,0.0,0.0,无数据
00700,daily_kline,4095,2010-01-04,2026-08-25,4095.0,4095.0,周期完整度 4095/4095
00700,daily_moneyflow,1364,2021-02-03,2026-08-25,1364.0,,
00700,institutional_holdings,89,,,,,
00700,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00700,monthly_moneyflow,68,2021-02-26,2026-08-21,68.0,,
00700,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00700,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00700,weekly_kline,868,2010-01-08,2026-08-21,868.0,868.0,周期完整度 868/868
00700,weekly_moneyflow,290,2021-02-05,2026-08-21,290.0,,
00788,daily_kline,1979,2018-08-08,2026-08-25,1979.0,1979.0,周期完整度 1979/1979
00788,daily_moneyflow,1346,2021-02-03,2026-08-25,1346.0,,
00788,institutional_holdings,33,,,,,
00788,monthly_kline,96,2018-08-31,2026-07-31,96.0,96.0,周期完整度 96/96
00788,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
00788,quarterly_kline,32,2018-09-30,2026-06-30,32.0,32.0,周期完整度 32/32
00788,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
00788,weekly_kline,420,2018-08-10,2026-08-21,420.0,420.0,周期完整度 420/420
00788,weekly_moneyflow,288,2021-02-05,2026-08-21,288.0,,
01093,daily_kline,4094,2010-01-04,2026-08-25,4094.0,4095.0,周期完整度 4094/4095
01093,daily_moneyflow,1359,2021-02-03,2026-08-25,1359.0,,
01093,institutional_holdings,90,,,,,
01093,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
01093,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
01093,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
01093,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
01093,weekly_kline,868,2010-01-08,2026-08-21,868.0,868.0,周期完整度 868/868
01093,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
01177,daily_kline,4092,2010-01-04,2026-08-25,4092.0,4095.0,周期完整度 4092/4095
01177,daily_moneyflow,1359,2021-02-03,2026-08-25,1359.0,,
01177,institutional_holdings,86,,,,,
01177,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
01177,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
01177,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
01177,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
01177,weekly_kline,868,2010-01-08,2026-08-21,868.0,868.0,周期完整度 868/868
01177,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
01951,daily_kline,1765,2019-06-25,2026-08-25,1765.0,1765.0,周期完整度 1765/1765
01951,daily_moneyflow,1359,2021-02-03,2026-08-25,1359.0,,
01951,institutional_holdings,32,,,,,
01951,monthly_kline,86,2019-06-30,2026-07-31,86.0,86.0,周期完整度 86/86
01951,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
01951,quarterly_kline,29,2019-06-30,2026-06-30,29.0,29.0,周期完整度 29/29
01951,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
01951,weekly_kline,374,2019-06-28,2026-08-21,374.0,374.0,周期完整度 374/374
01951,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
02202,daily_kline,2983,2014-06-25,2026-08-25,2983.0,2994.0,周期完整度 2983/2994
02202,daily_moneyflow,1358,2021-02-03,2026-08-25,1358.0,,
02202,institutional_holdings,90,,,,,
02202,monthly_kline,146,2014-06-30,2026-07-31,146.0,146.0,周期完整度 146/146
02202,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
02202,quarterly_kline,49,2014-06-30,2026-06-30,49.0,49.0,周期完整度 49/49
02202,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
02202,weekly_kline,633,2014-06-27,2026-08-21,633.0,635.0,周期完整度 633/635
02202,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
02602,daily_kline,957,2022-09-29,2026-08-25,957.0,957.0,周期完整度 957/957
02602,daily_moneyflow,248,2025-08-21,2026-08-25,248.0,,
02602,institutional_holdings,16,,,,,
02602,monthly_kline,47,2022-09-30,2026-07-31,47.0,47.0,周期完整度 47/47
02602,monthly_moneyflow,12,2025-08-29,2026-07-31,12.0,,
02602,quarterly_kline,16,2022-09-30,2026-06-30,16.0,16.0,周期完整度 16/16
02602,quarterly_moneyflow,5,2025-09-30,2026-08-21,5.0,,
02602,weekly_kline,204,2022-09-30,2026-08-21,204.0,204.0,周期完整度 204/204
02602,weekly_moneyflow,53,2025-08-22,2026-08-21,53.0,,
02611,daily_kline,2284,2017-04-11,2026-08-25,2284.0,2305.0,周期完整度 2284/2305
02611,daily_moneyflow,1341,2021-02-03,2026-08-25,1341.0,,
02611,institutional_holdings,45,,,,,
02611,monthly_kline,112,2017-04-30,2026-07-31,112.0,112.0,周期完整度 112/112
02611,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
02611,quarterly_kline,37,2017-06-30,2026-06-30,37.0,37.0,周期完整度 37/37
02611,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
02611,weekly_kline,485,2017-04-14,2026-08-21,485.0,489.0,周期完整度 485/489
02611,weekly_moneyflow,286,2021-02-05,2026-08-21,286.0,,
03033,daily_kline,1471,2020-08-28,2026-08-25,1471.0,1471.0,周期完整度 1471/1471
03033,daily_moneyflow,1315,2021-04-19,2026-08-25,1315.0,,
03033,institutional_holdings,0,,,0.0,0.0,无数据
03033,monthly_kline,72,2020-08-31,2026-07-31,72.0,72.0,周期完整度 72/72
03033,monthly_moneyflow,67,2021-04-01,2026-08-21,67.0,,
03033,quarterly_kline,24,2020-09-30,2026-06-30,24.0,24.0,周期完整度 24/24
03033,quarterly_moneyflow,22,2021-06-30,2026-08-21,22.0,,
03033,weekly_kline,313,2020-08-28,2026-08-21,313.0,313.0,周期完整度 313/313
03033,weekly_moneyflow,279,2021-04-23,2026-08-21,279.0,,
03800,daily_kline,3947,2010-01-04,2026-08-25,3947.0,4095.0,周期完整度 3947/4095
03800,daily_moneyflow,1216,2021-02-03,2026-08-25,1216.0,,
03800,institutional_holdings,75,,,,,
03800,monthly_kline,192,2010-01-31,2026-07-31,192.0,199.0,周期完整度 192/199
03800,monthly_moneyflow,62,2021-02-01,2026-08-21,62.0,,
03800,quarterly_kline,64,2010-03-31,2026-06-30,64.0,66.0,周期完整度 64/66
03800,quarterly_moneyflow,21,2021-03-31,2026-08-21,21.0,,
03800,weekly_kline,838,2010-01-08,2026-08-21,838.0,868.0,周期完整度 838/868
03800,weekly_moneyflow,259,2021-02-05,2026-08-21,259.0,,
06060,daily_kline,2189,2017-09-28,2026-08-25,2189.0,2189.0,周期完整度 2189/2189
06060,daily_moneyflow,1359,2021-02-03,2026-08-25,1359.0,,
06060,institutional_holdings,36,,,,,
06060,monthly_kline,107,2017-09-30,2026-07-31,107.0,107.0,周期完整度 107/107
06060,monthly_moneyflow,69,2021-02-01,2026-08-21,69.0,,
06060,quarterly_kline,36,2017-09-30,2026-06-30,36.0,36.0,周期完整度 36/36
06060,quarterly_moneyflow,23,2021-03-31,2026-08-21,23.0,,
06060,weekly_kline,465,2017-09-29,2026-08-21,465.0,465.0,周期完整度 465/465
06060,weekly_moneyflow,289,2021-02-05,2026-08-21,289.0,,
IDX,idx_hist,2864,2015-01-02,2026-08-25,,,
