stock_code,week_end,action_signal,mtf_regime,market_regime,structural_regime,position,position_start,turnover,cost,weekly_return,effective_return,return_missing,pnl
00268,2021-01-01,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.5,0.5,0.5,0.00175,0.13873873873873888,0.13873873873873888,False,0.06761936936936944
00268,2021-01-08,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.5,0.5,0.0,0.0,-0.10443037974683544,-0.10443037974683544,False,-0.05221518987341772
00268,2021-01-15,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.5,0.5,0.0,0.0,-0.010600706713780994,-0.010600706713780994,False,-0.005300353356890497
00268,2021-01-22,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.5,0.5,0.0,0.0,0.19464285714285734,0.19464285714285734,False,0.09732142857142867
00268,2021-01-29,REDUCE,BULLISH_WARNING,risk_off,STRUCTURAL_DIVERGENCE,0.5,0.5,0.0,0.0,-0.06427503736920781,-0.06427503736920781,False,-0.032137518684603905
00268,2021-02-05,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.2,0.2,0.3,0.0014310000000000002,0.10383386581469645,0.10383386581469645,False,0.019335773162939288
00268,2021-02-12,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.5,0.5,0.3,0.00105,0.09551374819102754,0.09551374819102754,False,0.046706874095513766
00268,2021-02-19,HOLD,BULLISH_STABLE,risk_on,STRUCTURAL_ACCUMULATION,0.5,0.5,0.0,0.0,-0.04359313077939231,-0.04359313077939231,False,-0.021796565389696154
00268,2021-02-26,HOLD,BULLISH_STABLE,risk_off,STRUCTURAL_ACCUMULATION,0.75,0.75,0.25,0.000875,-0.23066298342541436,-0.23066298342541436,False,-0.17387223756906076
00268,2021-03-05,EXIT,BULLISH_STABLE,risk_on,STRUCTURAL_ACCUMULATION,0.75,0.75,0.0,0.0,-0.05565529622980259,-0.05565529622980259,False,-0.04174147217235194
00268,2021-03-12,EXIT,BULLISH_STABLE,risk_on,STRUCTURAL_ACCUMULATION,0.0,0.0,0.75,0.003577500000000001,-0.009505703422053258,-0.009505703422053258,False,-0.003577500000000001
00268,2021-03-19,REDUCE,BULLISH_STABLE,risk_on,STRUCTURAL_ACCUMULATION,0.0,0.0,0.0,0.0,0.0249520153550864,0.0249520153550864,False,0.0
00268,2021-03-26,REDUCE,BULLISH_STABLE,risk_on,STRUCTURAL_ACCUMULATION,0.2,0.2,0.2,0.0007000000000000001,-0.08801498127340812,-0.08801498127340812,False,-0.018302996254681625
00268,2021-04-02,REDUCE,BULLISH_STABLE,risk_on,STRUCTURAL_ACCUMULATION,0.2,0.2,0.0,0.0,0.028747433264886935,0.028747433264886935,False,0.005749486652977387
00268,2021-04-09,EXIT,BULLISH_STABLE,risk_on,STRUCTURAL_ACCUMULATION,0.2,0.2,0.0,0.0,-0.005988023952095856,-0.005988023952095856,False,-0.0011976047904191712
00268,2021-04-16,REDUCE,BULLISH_STABLE,neutral,STRUCTURAL_ACCUMULATION,0.0,0.0,0.2,0.0009540000000000002,-0.010040160642570295,-0.010040160642570295,False,-0.0009540000000000002
00268,2021-04-23,REDUCE,BULLISH_STABLE,neutral,STRUCTURAL_ACCUMULATION,0.2,0.2,0.2,0.0007000000000000001,0.0730223123732252,0.0730223123732252,False,0.013904462474645041
00268,2021-04-30,REDUCE,BULLISH_STABLE,neutral,STRUCTURAL_ACCUMULATION,0.2,0.2,0.0,0.0,-0.02835538752362954,-0.02835538752362954,False,-0.005671077504725908
00268,2021-05-07,EXIT,BULLISH_STABLE,risk_off,STRUCTURAL_ACCUMULATION,0.2,0.2,0.0,0.0,-0.06420233463035019,-0.06420233463035019,False,-0.012840466926070038
00268,2021-05-14,REDUCE,BULLISH_STABLE,risk_off,STRUCTURAL_ACCUMULATION,0.0,0.0,0.2,0.0009540000000000002,-0.012474012474012475,-0.012474012474012475,False,-0.0009540000000000002
00268,2021-05-21,REDUCE,BULLISH_STABLE,risk_off,STRUCTURAL_ACCUMULATION,0.2,0.2,0.2,0.0007000000000000001,0.10736842105263156,0.10736842105263156,False,0.020773684210526312
00268,2021-05-28,REDUCE,BULLISH_STABLE,neutral,STRUCTURAL_ACCUMULATION,0.2,0.2,0.0,0.0,0.12357414448669202,0.12357414448669202,False,0.024714828897338406
00268,2021-06-04,HOLD,BULLISH_STABLE,neutral,STRUCTURAL_ACCUMULATION,0.2,0.2,0.0,0.0,-0.040609137055837574,-0.040609137055837574,False,-0.008121827411167515
