stock_code,week_end,action_signal,mtf_regime,market_regime,structural_regime,position,position_start,turnover,cost,weekly_return,effective_return,return_missing,pnl
01093,2021-01-01,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.2,0.2,0.2,0.0007000000000000001,0.05246422893481717,0.05246422893481717,False,0.009792845786963433
01093,2021-01-08,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.2,0.2,0.0,0.0,0.0332326283987916,0.0332326283987916,False,0.006646525679758319
01093,2021-01-15,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.2,0.2,0.0,0.0,-0.023391812865497075,-0.023391812865497075,False,-0.004678362573099415
01093,2021-01-22,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.2,0.2,0.0,0.0,0.09131736526946121,0.09131736526946121,False,0.018263473053892244
01093,2021-01-29,REDUCE,BULLISH_WARNING,risk_off,STRUCTURAL_DIVERGENCE,0.2,0.2,0.0,0.0,-0.09327846364883396,-0.09327846364883396,False,-0.018655692729766794
01093,2021-02-05,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.2,0.2,0.0,0.0,0.033282904689863724,0.033282904689863724,False,0.006656580937972745
01093,2021-02-12,REDUCE,BULLISH_WARNING,risk_on,STRUCTURAL_DIVERGENCE,0.2,0.2,0.0,0.0,0.01171303074670571,0.01171303074670571,False,0.002342606149341142
01093,2021-02-19,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.2,0.2,0.0,0.0,0.06078147612156304,0.06078147612156304,False,0.012156295224312608
01093,2021-02-26,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.2,0.0009540000000000002,-0.07366984993178716,-0.07366984993178716,False,-0.0009540000000000002
01093,2021-03-05,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.026509572901325384,0.026509572901325384,False,0.0
01093,2021-03-12,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.17647058823529416,0.17647058823529416,False,0.0
01093,2021-03-19,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.017073170731707332,0.017073170731707332,False,0.0
01093,2021-03-26,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.06594724220623505,-0.06594724220623505,False,-0.0
01093,2021-04-02,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.037227214377406836,0.037227214377406836,False,0.0
01093,2021-04-09,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.012376237623762387,0.012376237623762387,False,0.0
01093,2021-04-16,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.012224938875305513,0.012224938875305513,False,0.0
01093,2021-04-23,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.03985507246376807,0.03985507246376807,False,0.0
01093,2021-04-30,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.03484320557491272,-0.03484320557491272,False,-0.0
01093,2021-05-07,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.014440433212996484,-0.014440433212996484,False,-0.0
01093,2021-05-14,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.170940170940171,0.170940170940171,False,0.0
01093,2021-05-21,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.027111574556829998,0.027111574556829998,False,0.0
01093,2021-05-28,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.0598984771573603,0.0598984771573603,False,0.0
01093,2021-06-04,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.034482758620689724,0.034482758620689724,False,0.0
01093,2021-06-11,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.040740740740740744,0.040740740740740744,False,0.0
01093,2021-06-18,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.07473309608540923,-0.07473309608540923,False,-0.0
01093,2021-06-25,EXIT,BEARISH_CONFIRMED,risk_on,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.007692307692307665,-0.007692307692307665,False,-0.0
01093,2021-07-02,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.04844961240310075,-0.04844961240310075,False,-0.0
01093,2021-07-09,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.08961303462321801,-0.08961303462321801,False,-0.0
01093,2021-07-16,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.08277404921700215,0.08277404921700215,False,0.0
01093,2021-07-23,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.012396694214875992,-0.012396694214875992,False,-0.0
01093,2021-07-30,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.03138075313807542,-0.03138075313807542,False,-0.0
01093,2021-08-06,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.012958963282937441,0.012958963282937441,False,0.0
01093,2021-08-13,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.03198294243070343,0.03198294243070343,False,0.0
01093,2021-08-20,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.07851239669421484,-0.07851239669421484,False,-0.0
01093,2021-08-27,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.05717488789237668,-0.05717488789237668,False,-0.0
01093,2021-09-03,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.05588585017835923,0.05588585017835923,False,0.0
01093,2021-09-10,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.025900900900900914,-0.025900900900900914,False,-0.0
01093,2021-09-17,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.017341040462427793,-0.017341040462427793,False,-0.0
01093,2021-09-24,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,False,-0.0
01093,2021-10-01,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.004901960784313708,0.004901960784313708,False,0.0
01093,2021-10-08,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.02073170731707319,-0.02073170731707319,False,-0.0
01093,2021-10-15,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.06475716064757153,-0.06475716064757153,False,-0.0
01093,2021-10-22,EXIT,BEARISH_CONFIRMED,neutral,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,0.009320905459387463,0.009320905459387463,False,0.0
01093,2021-10-29,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.07651715039577833,-0.07651715039577833,False,-0.0
01093,2021-11-05,EXIT,BEARISH_CONFIRMED,risk_off,STRUCTURAL_DECLINE,0.0,0.0,0.0,0.0,-0.0357142857142857,-0.0357142857142857,False,-0.0
