model,n,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_factor,sortino,calmar,annual_turnover,risk_off_annualized,risk_off_sharpe
A_raw,295,-0.013738,-0.002435,0.0198,-0.247729,0.5017,1.0075,0.0323,-0.0098,1.3909,-0.09372542594902722,-0.9951650704850452
B_risk_off_gate,295,-0.023666,-0.004213,-0.0301,-0.215095,0.4847,0.9853,-0.0412,-0.0196,2.7433,-0.06971352578109857,-1.2825728975170763
