stock_code,stock_name,week_end,w_volume_ratio,w_volume_breakout,w_volume_shrink,w_turnover_deviation,w_turnover_spike,w_vwap_deviation,w_ma_slope,w_breakout,w_breakdown,tactical_signal,data_quality
01093,石药集团,2010-01-08,,0,0,,0,-0.9189515468780907,,0,0,Consolidation,C
01093,石药集团,2010-01-15,,0,0,,0,-0.9690251773329819,,0,0,Consolidation,C
01093,石药集团,2010-01-22,,0,0,,0,-0.9818464964668357,加速,0,0,Consolidation,C
01093,石药集团,2010-01-29,,0,0,,0,-1.0334688166596728,加速,0,0,Consolidation,C
01093,石药集团,2010-02-05,,0,0,,0,-1.0277864326918453,减速,0,0,Consolidation,C
01093,石药集团,2010-02-12,,0,0,,0,-0.9809987248497787,加速,0,0,Consolidation,C
01093,石药集团,2010-02-19,,0,0,,0,-1.028314525283096,加速,0,0,Consolidation,C
01093,石药集团,2010-02-26,,0,0,-0.3033268101761253,0,-0.990791614312411,加速,0,0,Consolidation,C
01093,石药集团,2010-03-05,,0,0,-0.012195121951219523,0,-0.9680758934082212,加速,0,0,Consolidation,C
01093,石药集团,2010-03-12,0.5900882547981355,0,0,-0.41755537325676784,0,-0.9954228557863012,减速,0,0,Consolidation,C
01093,石药集团,2010-03-19,1.4353325063668008,0,0,0.435805991440799,0,-0.934494135630299,加速,0,0,Consolidation,C
01093,石药集团,2010-03-26,2.2702905083276947,1,0,1.27514450867052,1,-0.8597211662912909,加速,0,0,Consolidation,C
01093,石药集团,2010-04-02,1.0392348401290763,0,0,0.04359383306751741,0,-0.8490949785617287,减速,0,0,Consolidation,C
01093,石药集团,2010-04-09,1.5742597541357308,0,0,0.6318565400843881,0,-0.8013360047308296,加速,0,0,Consolidation,C
01093,石药集团,2010-04-16,2.2298996400664484,1,0,1.3003347680535629,0,-0.7787216619030778,平稳,0,0,Consolidation,C
01093,石药集团,2010-04-23,3.0391279572437786,1,0,2.0015841584158416,1,-0.715849934753564,加速,0,0,Consolidation,C
01093,石药集团,2010-04-30,1.9386992760443293,1,0,0.8306595365418894,0,-0.7246443587362763,减速,0,0,Consolidation,C
01093,石药集团,2010-05-07,1.2483512381210216,0,0,0.16256499133448865,0,-0.7746786429205057,减速,0,0,Consolidation,C
01093,石药集团,2010-05-14,1.0558806527275166,0,0,-0.06684227856437286,0,-0.7090422326077179,加速,0,0,Consolidation,C
01093,石药集团,2010-05-21,1.3493829364644625,0,0,0.12803398058252413,0,-0.8108490335473258,减速,0,0,Pullback,C
01093,石药集团,2010-05-28,1.185433763742223,0,0,-0.04942196531791909,0,-0.8631584211369389,减速,0,0,Consolidation,C
01093,石药集团,2010-06-04,0.6014867947811386,0,0,-0.5229702398150824,0,-0.8483853477829951,加速,0,0,Consolidation,C
01093,石药集团,2010-06-11,0.4423218817308219,0,1,-0.6565192418150487,0,-0.8409936885061815,加速,0,0,Consolidation,C
01093,石药集团,2010-06-18,0.6496647690226567,0,0,-0.4852983988355166,0,-0.834742211862772,加速,0,0,Pullback,C
01093,石药集团,2010-06-25,0.3968674475313351,0,1,-0.6696988707653702,0,-0.837270556430568,平稳,0,0,Consolidation,C
