date,close,volume,chg1d,ma5,ma20,chg5d,chg20d,dd_from_peak,w_signal,m_state,s_regime,f_state,daily_state,d_flow_z,mtf_regime,action_signal,risk_level,align_method,catalyst_score,target_now,position_eff
2026-05-04,2.66,7839000.0,,,,,,-0.0699300699300699,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.2622878734061009,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.0
2026-05-05,2.7,4298545.0,0.015037593984962516,,,,,-0.055944055944055826,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,0.09119769030665512,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-05-06,2.69,10136062.0,-0.0037037037037037646,,,,,-0.05944055944055937,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-0.45105468728841513,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-05-07,2.7,24754000.0,0.003717472118959231,,,,,-0.055944055944055826,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-0.14447432381821226,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-05-08,2.74,24889604.0,0.014814814814814836,2.698,,,,-0.04195804195804187,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.5970283664352201,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.5
2026-05-11,2.8,17733677.0,0.021897810218977964,2.726,,0.05263157894736836,,-0.020979020979021046,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.1271328378067576,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-05-12,2.82,20363393.0,0.0071428571428571175,2.75,,0.04444444444444429,,-0.013986013986013957,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.03598879072186768,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-05-13,2.8,19090553.0,-0.007092198581560294,2.772,,0.040892193308550207,,-0.020979020979021046,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.11145470834593242,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-05-14,2.86,33563275.0,0.021428571428571352,2.804,,0.05925925925925912,,0.0,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.057516225549237326,BULLISH_STABLE,HOLD,Medium,matrix,0.0,0.75,0.75
2026-05-15,2.85,20314000.0,-0.0034965034965034336,2.8259999999999996,,0.04014598540145986,,-0.0034965034965034336,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.09004442841199047,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.75
2026-05-18,2.84,21195050.0,-0.0035087719298246833,2.8339999999999996,,0.014285714285714235,,-0.006993006993006978,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.24549660121265054,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-05-19,2.82,23000491.0,-0.007042253521126751,2.8339999999999996,,0.0,,-0.013986013986013957,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-0.33597602589244246,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-05-20,2.8,19331610.0,-0.007092198581560294,2.834,,0.0,,-0.020979020979021046,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,-0.2954796425291417,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-05-21,2.75,19603468.0,-0.017857142857142794,2.8120000000000003,,-0.038461538461538436,,-0.038461538461538436,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_PULLBACK,0.3320376124004669,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-05-22,2.71,37282315.0,-0.014545454545454528,2.784,,-0.0491228070175439,,-0.05244755244755239,Pullback,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,2.406428850215248,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-05-26,2.73,19892970.0,0.007380073800737907,2.7619999999999996,,-0.03873239436619713,,-0.045454545454545414,Pullback,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.1483970277796024,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-05-27,2.72,17832618.0,-0.003663003663003539,2.742,,-0.03546099290780125,,-0.04895104895104885,Pullback,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.037773064566071324,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-05-28,2.66,31775950.0,-0.022058823529411797,2.714,,-0.04999999999999993,,-0.0699300699300699,Pullback,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.10470948294257071,BULLISH_STABLE,HOLD,High,fallback,0.0,0.5,0.5
2026-05-29,2.63,15779275.0,-0.011278195488721887,2.69,,-0.043636363636363695,,-0.08041958041958042,Consolidation,Improving,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,0.6092439054560062,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-01,2.61,24656000.0,-0.0076045627376425395,2.6700000000000004,2.7445,-0.03690036900369009,,-0.0874125874125874,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-0.5194623558820214,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
2026-06-02,2.56,29337403.0,-0.019157088122605304,2.636,2.7395000000000005,-0.06227106227106227,-0.03759398496240607,-0.10489510489510478,Consolidation,Stable,STRUCTURAL_BULLISH,F↓,DAILY_NEUTRAL,-1.7774314901740487,BULLISH_STABLE,HOLD,High,matrix,0.0,0.5,0.5
