stock_code,stock_name,decision_date,structural_regime,monthly_behavior_state,tactical_signal,cbi_score,cost_position,chip_stability_confidence,mtf_regime,qcfp_score,structure_behavior_alignment,market_context,evidence_summary,ai_check,data_quality,align_method
00788,中国铁塔,2019-01-04,STATE_UNDETERMINED,Improving,Consolidation,,COST_DISADVANTAGE,Low,DATA_INSUFFICIENT,,Unknown,risk_off,结构:STATE_UNDETERMINED(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,B,data_insufficient
00788,中国铁塔,2019-01-11,STATE_UNDETERMINED,Improving,Consolidation,,COST_DISADVANTAGE,Low,DATA_INSUFFICIENT,,Unknown,risk_on,结构:STATE_UNDETERMINED(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,B,data_insufficient
00788,中国铁塔,2019-01-18,STATE_UNDETERMINED,Improving,Consolidation,,COST_DISADVANTAGE,Low,DATA_INSUFFICIENT,,Unknown,risk_on,结构:STATE_UNDETERMINED(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,B,data_insufficient
00788,中国铁塔,2019-01-25,STATE_UNDETERMINED,Improving,Consolidation,,COST_DISADVANTAGE,Low,DATA_INSUFFICIENT,,Unknown,risk_on,结构:STATE_UNDETERMINED(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,B,data_insufficient
00788,中国铁塔,2019-02-01,STATE_UNDETERMINED,Stable,Consolidation,50.0,COST_NEUTRAL,Low,DATA_INSUFFICIENT,,Unknown,risk_on,结构:STATE_UNDETERMINED(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Low,PASSED,B,data_insufficient
00788,中国铁塔,2019-02-08,STATE_UNDETERMINED,Stable,Consolidation,50.0,COST_NEUTRAL,Low,DATA_INSUFFICIENT,,Unknown,risk_on,结构:STATE_UNDETERMINED(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Low,PASSED,B,data_insufficient
00788,中国铁塔,2019-02-15,STRUCTURAL_ACCUMULATION,Stable,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Aligned,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-02-22,STRUCTURAL_ACCUMULATION,Stable,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Aligned,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-03-01,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-03-08,STRUCTURAL_ACCUMULATION,Deteriorating,Pullback,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Pullback(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-03-15,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-03-22,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-03-29,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-04-05,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-04-12,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-04-19,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-04-26,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-05-03,STRUCTURAL_ACCUMULATION,Stable,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Aligned,risk_on,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-05-10,STRUCTURAL_ACCUMULATION,Stable,Pullback,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Aligned,neutral,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Stable(B); 触发:Pullback(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-05-17,STRUCTURAL_ACCUMULATION,Stable,Pullback,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Aligned,neutral,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Stable(B); 触发:Pullback(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-05-24,STRUCTURAL_ACCUMULATION,Stable,Consolidation,50.0,COST_NEUTRAL,Medium,BULLISH_STABLE,75.0,Aligned,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-05-31,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-06-07,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-06-14,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-06-21,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-06-28,STRUCTURAL_ACCUMULATION,Deteriorating,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Divergence,neutral,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,fallback
00788,中国铁塔,2019-07-05,STRUCTURAL_ACCUMULATION,Improving,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Aligned,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,matrix
00788,中国铁塔,2019-07-12,STRUCTURAL_ACCUMULATION,Improving,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Aligned,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,matrix
00788,中国铁塔,2019-07-19,STRUCTURAL_ACCUMULATION,Improving,Consolidation,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Aligned,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Medium,PASSED,B,matrix
00788,中国铁塔,2019-07-26,STRUCTURAL_ACCUMULATION,Improving,Pullback,50.0,COST_DISADVANTAGE,Medium,BULLISH_STABLE,75.0,Aligned,risk_off,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Improving(B); 触发:Pullback(C); 置信度:Medium,PASSED,B,fallback
