stock_code,stock_name,decision_date,structural_regime,monthly_behavior_state,tactical_signal,chip_stability_confidence,mtf_regime,qcfp_score,structure_behavior_alignment,market_context,data_quality,catalyst_score,align_method,action_signal,base_action,base_target,risk_level,des_score,des_band,final_action,final_target,risk_override_active,alignment_override,risk_score,risk_reasons
01951,锦鑫生殖,2019-06-28,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,5,基础:DATA_INSUFFICIENT(4)；置信度Low+1
01951,锦鑫生殖,2019-07-05,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-07-12,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-07-19,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-07-26,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-08-02,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-08-09,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-08-16,STATE_UNDETERMINED,,Pullback,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,1,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-08-23,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-08-30,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
01951,锦鑫生殖,2019-09-06,STATE_UNDETERMINED,Deteriorating,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,risk_off,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,7,基础:DATA_INSUFFICIENT(4)；市场risk_off+1；数据质量C+1；置信度Low+1
