module,prod_reachable,authority,decision_critical,decision
tactical.weekly_volume,False,NONE,False,RESEARCH_ONLY
tactical.weekly_vwap,False,NONE,False,RESEARCH_ONLY
wave.aging,False,NONE,False,RESEARCH_ONLY
wave.asof_opportunity,False,NONE,False,RESEARCH_ONLY
wave.canonical,True,OPPORTUNITY_PROPOSAL,True,KEEP
wave.label,False,NONE,False,RESEARCH_ONLY
wave.lifecycle,False,NONE,False,RESEARCH_ONLY
wave.opportunity,False,NONE,False,RESEARCH_ONLY
wave.outcome_label,False,NONE,False,RESEARCH_ONLY
wave.quality,False,NONE,False,RESEARCH_ONLY
wave.signal,False,NONE,False,RESEARCH_ONLY
wave.stage_gate,True,OPPORTUNITY_PROPOSAL,True,KEEP
wave.stage_output,False,NONE,False,RESEARCH_ONLY
